Vitamin_type,Pregnant,Lactating,Age_range,EAR_Male,EAR_Female,RDA_Male,RDA_Female,AI,UL
A,,,0 - 6 mo,,,,,400,600
,,,7 - 12 mo,,,,,500,600
,,,1 - 3 y,210,210,300,300,,600
,,,4 - 8 y,275,275,400,400,,900
,,,9 - 13 y,445,420,600,600,,1700
,,,14 - 18 y,630,485,900,700,,2800
,,,19 - 30 y,625,500,900,700,,3000
,,,31 - 50 y,625,500,900,700,,3000
,,,51 - 70 y,625,500,900,700,,3000
,,,> 70 y,625,500,900,700,,3000
,,,,,,,,,
,Pregnant,,<18,,530,,750,,2800
,Pregnant,,19 - 50 y,,550,,770,,3000
,,Lactating,<18,,885,,1200,,2800
,,Lactating,19 - 50 y,,900,,1300,,3000
B6,,,0 - 6 mo,,,,,0.1,ND
,,,7 - 12 mo,,,,,0.3,ND
,,,1 - 3 y,0.4,0.4,0.5,0.5,,30
,,,4 - 8 y,0.5,0.5,0.6,0.6,,40
,,,9 - 13 y,0.8,0.8,1,1,,60
,,,14 - 18 y,1.1,1,1.3,1.2,,80
,,,19 - 30 y,1.1,1.1,1.3,1.3,,100
,,,31 - 50 y,1.1,1.1,1.3,1.3,,100
,,,51 - 70 y,1.4,1.3,1.7,1.5,,100
,,,> 70 y,1.4,1.3,1.7,1.5,,100
,,,,,,,,,
,Pregnant,,<18,,1.6,,1.9,,80
,Pregnant,,19 - 50 y,,1.6,,1.9,,100
,,Lactating,<18,,1.7,,2,,80
,,Lactating,19 - 50 y,,11.7,,2,,100
