Vitamin_type,Pregnant,Lactating,Age_range_lower,EAR_Male,EAR_Female,RDA_Male,RDA_Female,AI,UL
A,,,0,,,,,400,600
A,,,0.5,,,,,500,600
A,,,1,210,210,300,300,,600
A,,,4,275,275,400,400,,900
A,,,9,445,420,600,600,,1700
A,,,14,630,485,900,700,,2800
A,,,19,625,500,900,700,,3000
A,,,31,625,500,900,700,,3000
A,,,51,625,500,900,700,,3000
A,,,70,625,500,900,700,,3000
A,Pregnant,,0,,530,,750,,2800
A,Pregnant,,19,,550,,770,,3000
A,,Lactating,0,,885,,1200,,2800
A,,Lactating,19,,900,,1300,,3000
B6,,,0,,,,,0.1,ND
B6,,,0.5,,,,,0.3,ND
B6,,,1,0.4,0.4,0.5,0.5,,30
B6,,,4,0.5,0.5,0.6,0.6,,40
B6,,,9,0.8,0.8,1,1,,60
B6,,,14,1.1,1,1.3,1.2,,80
B6,,,19,1.1,1.1,1.3,1.3,,100
B6,,,31,1.1,1.1,1.3,1.3,,100
B6,,,51,1.4,1.3,1.7,1.5,,100
B6,,,70,1.4,1.3,1.7,1.5,,100
B6,Pregnant,,0,,1.6,,1.9,,80
B6,Pregnant,,19,,1.6,,1.9,,100
B6,,Lactating,0,,1.7,,2,,80
B6,,Lactating,19,,11.7,,2,,100
B12,,,0,0.4,0.4,0.4,0.4,0.4, ND
B12,,,0.5,0.5,0.5,0.5,0.5,0.5, ND
B12,,,1,0.7,0.7,0.9,0.9, ND,
B12,,,4,1,1,1.2,1.2, ND, ND
B12,,,9,1.5,1.5,1.8,1.8,ND,ND
B12,,,14,2,2,2.4,2.4,ND,ND
B12,,,19,2,2,2.4,2.4,ND,ND
B12,,,31,2,2,2.4,2.4,ND,ND
B12,,,51,2,2,2.4,2.4,ND,ND
B12,,,70,2,2,2.4,2.4,ND,ND
B12, Pregnant,,0,,2.2, ,2.6,ND,ND
B12, Pregnant,,19,,2.2,,2.6,ND,ND
B12,,Lactating,0,,2.4,,2.8,ND,ND
B12 ,,Lactating,19,,2.4,,2.8,ND,ND
Biotin,,,0,5,5,5,5,5,ND
Biotin,,,0.5,6,6,6,6,6,ND
Biotin,,,1,8,8,8,8,8, ND
Biotin,,,4,9,9,9,9,9, ND
Biotin,,,9,12,12,12,12,12,ND
Biotin,,,14,20,20,20,20,20,ND
Biotin,,,19,25,25,25,25,25,ND
Biotin,,,31,30,30,30,30,30,ND
Biotin,,,51,30,30,30,30,30,ND
Biotin,,,70,30,30,30,30,30,ND
Biotin,Pregnant,,0,,30,,30,30,ND
Biotin,Pregnant,,19,,30,,30,30,ND
Biotin,,Lactating,0,,35,,35,35,ND
Biotin,,Lactating,19,,35,,35,35,ND
C,,,0,40,40,40,40,40,ND
C,,,0.5,50,50,50,50,50,ND
C,,,1,13,13,15,15,,400
C,,,4,22,22,25,25,,650
C,,,9,39,39,45,45,,1200
C,,,14,63,56,75,65,,1800
C,,,19,75,60,90,75,,2000
C,,,31,75,60,90,75,,2000
C,,,51,75,60,90,75,,2000
C,,,70,75,60,90,75,,2000
C,Pregnant,,0,,66,,80,,1800
C,Pregnant,,19,,70,,85,,2000
C,,Lactating,0,,96,,115,,1800
C,,Lactating,19,,100,,120,,2000
