Age,Gender,Weight_kg,Height_cm,Activity_level,Status
25,Female,64,168,Moderate,Pregnant
35,Female,68,173,Low,Lactating
30,Female,55,160,High,Pregnant
27,Male,62,178,Moderate,None
21,Male,76,180,High,None
21,Male,76,180,High,None
54,Female,76,171,Moderate,None
20,Male,62,173,High,None
38,Female,51,165,Moderate,Lactating
19,Female,60,166,High,None
49,Male,52,177,Low,None
33,Female,81,159,High,Pregnant
76,Female,50,154,Low,None
28,Female,66,166,Moderate,Pregnant
21,Male,88,194,Low,None
